timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_calculated,targetTickUpper_calculated,initial_contract_balance_token0,initial_contract_balance_token1,finalTickLower_contract,finalTickUpper_contract,liquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message
7/15/2025 9:44,Predictive,fees_collect_only_success,0x6137fe2614eb644d24161a882e9693bf19ded8e021c206702187cf0f407d1fb5,20,2973.719233,196344,2981.64,2979.164904,1.45155E+33,196326,0,0,2E+12,5E+19,196230,196440,6.27699E+17,2.09821E+11,5E+19,47938108,1.86426E+16,35,516849,0.000602489,
7/16/2025 5:06,Predictive,fees_collect_only_success,0x9d1c7969582bfe6fe9b2a6396a650c1346fa200660f06af53b225c7e132f0663,20,3130.597439,195830,3122.1,3129.233393,1.41632E+33,195834,0,0,2E+12,5E+19,195740,195950,5.04611E+17,1.3915E+11,5E+19,52043228,1.29095E+16,35,561514,0.000622721,
2025-07-16 06:01:58,Predictive,fees_collect_only_success,0xbc74cb595924c5e9b06d16a0e948f62258c61fd13beceb32580fa8110f434cca,20,3137.595772622824,195807,3145.96,3136.37541415428541096748734693015640918298940760053271931802064620775504366306,1414703940945112291881885892697208,195811,0,0,2000000000000,50000000000000000000,195730,195940,974928004442332913,414948911645,49999999999999999979,68192422,32263263333068031,35,485703,0.000536111919963846,
2025-07-16 08:07:19,Predictive,fees_collect_only_success,0xc03dc3084cd1b25024bc2f757ae75b6eb3c04548837185095e0af52b2fc30784,20,3165.168236886263,195720,3167.24,3164.48183632365415715852935780284262282821332163514076600923036150151258388132,1408407341205309983979664046870536,195722,0,0,2000000000000,50000000000000000000,195610,195820,492789002164383862,132067818341,49999999999999999952,50572286,15560754984282846,35,516821,0.000651749969703239,
2025-07-16 12:07:18,Predictive,fees_collect_only_success,0xa3d19cdc40e0ddbd6ba06674d87fbea0cb68a7f8ef2102efc302a47b7474a6ab,20,3165.214243057966,195720,3152.05,3157.63886029001374294648189900364642230289618350628500936889609187181909879888,1409932607749517957634560979018586,195744,0,0,2000000000000,50000000000000000000,195630,195840,403963763112382336,79861730050,49999999999999999929,48063810,10690966228665069,35,516737,0.000797150630007082,
2025-07-16 20:07:22,Predictive,fees_collect_only_success,0xbaa1f879075e09e4ab91ee66c9bab9fac50fa47c05c6fa801a136c71cf3afe72,20,3355.8572868561746,195135,3369.47,3375.94879553549375223337973995121607959293688158306812885169780485404169045570,1363583251594623891719977608042614,195075,0,0,2000000000000,50000000000000000000,195030,195240,2661465668232271952,1449439557071,49999999999999999995,133279722,66702917780864566,35,516821,0.001183592972614241,
2025-07-17 00:07:20,Predictive,fees_collect_only_success,0xc6cfd6ce4de164f32cf4b17e6a145ac30c85ee4476f5003022a12ffd8ee40cd1,20,3382.252333910465,195056,3369.79,3378.87827995606344867837601518907049392932610613525479136508984586964568601090,1362992010690993848968459859832447,195066,0,0,2000000000000,50000000000000000000,194950,195160,456403866700203099,108874395657,49999999999999999973,61988737,16236032682661083,35,561402,0.000699657520647816,
2025-07-17 04:07:22,Predictive,fees_collect_only_success,0xfe52a71b49905c90c821b1e8770a8ddca07407b280a3df7bf7e571c0981d5323,20,3340.7610147857667,195180,3326.53,3338.11785035954803951114981161062469221010324324085271004614628343394140244113,1371288238756746088780613641402199,195188,0,0,2000000000000,50000000000000000000,195070,195270,429027969967215083,80336704871,49999999999999999939,60121410,14914294987961099,35,482762,0.000547465695819252,
2025-07-17 08:07:34,Predictive,fees_collect_only_success,0x8bfa888014705aae5fb098f7f806e31557d7b9a0e827f25b1a2b33f6843d44a0,20,3415.855866497755,194958,3448.57,3443.92808296308119993281004072718645325208495588180095591549143095045362183746,1350058373530576580070384891040192,194876,0,0,2000000000000,50000000000000000000,194850,195060,3345627564363357752,2000000000000,15457060153090917411,141544982,70805441738612703,35,477783,0.000856676493770958,
2025-07-17 12:07:20,Predictive,fees_collect_only_success,0x8a8eb318a40605d55b02656f528646b45f90d46efd308e389ab6669e402188a9,20,3427.4536815977094,194924,3436.71,3424.58792384967277204018793523846394361806843190979266179817646628450856153938,1353865194074574201047056037439880,194932,0,0,2000000000000,50000000000000000000,194810,195020,631638248489322218,215903012142,49999999999999999960,51164573,22920214795989189,35,482649,0.000698090848407591,
2025-07-17 16:07:20,Predictive,fees_collect_only_success,0x45fd7e8f2d65f5f7eec836496b87b095945b197c83926f869203d561ee5fc64a,20,3427.7175071132183,194923,3421.32,3425.45268823134477802244116066877541847587667681706083142373386400320257932124,1353694289904443976989420053748631,194930,0,0,2000000000000,50000000000000000000,194800,195010,425478089519256569,89466363981,49999999999999999957,47986440,12567781084056670,35,516765,0.002780524512401850,
2025-07-17 20:07:22,Predictive,fees_collect_only_success,0x73d6695e07d92cf4daa06050d2f8d3b30898280c288e9047108664318f0a80ea,20,3393.760692565441,195023,3423.96,3400.87807263840046394699126993419133380293530277122280476305068826254530994637,1358576358093603516695146627949344,195002,0,0,2000000000000,50000000000000000000,194890,195100,759448043100795678,293876537380,49999999999999999935,57281618,28231058049043006,35,516765,0.000979950190426140,
2025-07-18 00:07:13,Predictive,fees_collect_only_success,0x8ee27104f19909d164f77f6a835b6c82cf86af2252e75c3fe1213bdf99f031b8,20,3454.0932429349423,194846,3478.59,3467.85200574408070093929840400641851296612122265946380816229040633865203689474,1345393441096817704767843830345171,194807,0,0,2000000000000,50000000000000000000,194740,194950,1568335903616997930,793634256598,49999999999999999997,92198358,46155826061955031,35,516765,0.000726583070968005,
2025-07-18 04:07:22,Predictive,fees_collect_only_success,0x5ae8f056ce2f7d32ba34f19d44a3aa5a78c4ad99e33c482b4654a14c1ddeff50,20,3579.5782001316547,194489,3599.92,3585.73494326868459227252986061762852256593578538466970824365493698214597737467,1323093366376704290858324909986475,194472,0,0,2000000000000,50000000000000000000,194380,194590,1002852047501055035,449712928681,49999999999999999999,61811636,30982282687938843,35,516793,0.000759242275249557,
2025-07-18 08:07:11,Predictive,fees_collect_only_success,0x9bfe33fe530006691f416e01bdc7ceb97ec29efbf4ea1a22f2419739b9d68d08,20,3620.8812347388266,194375,3622.71,3614.01361646153267463176743630775685745573716108320596095190064423302754525456,1317906777747996677933346494371961,194394,0,0,2000000000000,50000000000000000000,194270,194480,426741450229717403,87945134286,49999999999999999917,55677139,12372697704098953,35,516877,0.000935799954351098,
2025-07-18 12:07:19,Predictive,fees_collect_only_success,0x718c4eea1b1277b8d5d7aa82976d0cb69802a335194c1968b5705f7609912de2,20,3624.3370934021473,194365,3615.89,3620.15136025234499571319250092683075291475036400883381861926467640116589322564,1316789088895281565623320982897187,194377,0,0,2000000000000,50000000000000000000,194260,194470,451088916998741396,103220193182,49999999999999999937,57354495,12745137055813308,35,516849,0.000737528300246403,
2025-07-18 16:07:21,Predictive,fees_collect_only_success,0x81e613511b5883586d0f8513a06aef725af943db86239a6b869633ab620c4ba7,20,3572.2938896119595,194510,3562.43,3567.37861211152483803201689896764105440948596115003114610396298254913675511006,1326493058380680276452397011954746,194524,0,0,2000000000000,50000000000000000000,194410,194620,520187122095017470,146983418115,49999999999999999908,61856006,17098426808697323,35,602014,0.001011483361011830,
2025-07-18 20:07:12,Predictive,fees_collect_only_success,0xd55353febbb3e535a1adaddcaa485ab82de50878082e668ba442b7d822e5f4e9,20,3524.516196309328,194644,3555.99,3540.09753106782767949475943965921807455020952275139592070686958105796624277870,1331594430924994804210610438418694,194600,0,0,2000000000000,50000000000000000000,194530,194740,1591346145733942743,814501322341,49999999999999999974,102301960,51189480278457627,35,567814,0.000810663660869036,
2025-07-19 00:07:24,Predictive,fees_collect_only_success,0xdddc2622435de8491fcd6717f4d7634fbd580ca37fce47e655e31b0a1a3e063c,20,3526.491053828001,194639,3547.69,3534.90937200593523828025589581431000758251547815375836465428979117340544300796,1332571258043974777742702528952817,194615,0,0,2000000000000,50000000000000000000,194540,194750,1455296148534575046,729409894598,49999999999999999986,97235281,48632591511478341,35,516905,0.000644142478688700,
2025-07-19 04:07:30,Predictive,fees_collect_only_success,0x989e4bf0b931ff986e193e5a2400ac86bc410836b665e4b2f5c4373eb6fcac95,20,3566.0151831293106,194527,3590.74,3589.43262071344059569678363755912826887440218442608590009632211921320463947157,1322411694140166246147911436219077,194462,0,0,2000000000000,50000000000000000000,194430,194640,3473274863668164796,2000000000000,49176277050375944054,101078199,50555707484390013,35,512011,0.000586914182845496,
2025-07-19 08:07:12,Predictive,fees_collect_only_success,0x5815dcd56caa97bd4bd7ad993fda03c4a8afc4e31485543e0f98e6171b7ee376,20,3569.7462268567083,194517,3575.57,3565.46497427938805912953703121071395574006725748678919724406372705682463753624,1326848984859749450290139852948496,194529,0,0,2000000000000,50000000000000000000,194420,194630,722057328532961465,273300218594,49999999999999999937,65898948,26473755357332093,35,516793,0.000579914225701457,
2025-07-19 12:07:23,Predictive,fees_collect_only_success,0x59a269264b7343b6b08ba4c94af3246880786991b22c8e3acb5fda861a36ac9e,20,3570.6146643447873,194515,3554.68,3561.17986109597815142777692312281318237980529945679412273692422109906813647166,1327647033392683791177172559106326,194541,0,0,2000000000000,50000000000000000000,194400,194610,371156606361965582,53833038981,49999999999999999892,51242921,11305489098016399,35,516435,0.000573267157046145,
2025-07-19 16:07:11,Predictive,fees_collect_only_success,0x2ebbffe5a5f16a2a9d475752eaa8b02c59c4991677cdf2a6c78b3e3ae86d1998,20,3552.5367947638033,194565,3556.24,3549.46555661996365611375376525099200889874823833050430003216641939672055505287,1329836046149417449287138227742742,194574,0,0,2000000000000,50000000000000000000,194450,194660,567138501634757194,176358813467,49999999999999999916,45526908,17341146185486642,35,601958,0.000728109504348170,
2025-07-19 20:07:22,Predictive,fees_collect_only_success,0xfc3a161c638cee25e8e22568f9905b586192eed9f27aa8e235005207f9f0c63a,20,3578.180123691559,194493,3577.02,3576.60318490134776766233071455239382690557502577717444637700882803271960916593,1324781346017863562988748181303649,194498,0,0,2000000000000,50000000000000000000,194400,194610,639797368381460263,221855104108,49999999999999999977,26914927,8735546743684823,35,601930,0.000648533032568540,
2025-07-20 00:07:24,Predictive,fees_collect_only_success,0x4bf5fe640075559ab8b432cede975503e1c3bba0d37e908550b50701d46edb0e,20,3601.9414594101904,194427,3594.11,3596.84116789545807525221841117976725832129997967940465874617047994320019880504,1321049081911430669199014084817728,194441,0,0,2000000000000,50000000000000000000,194310,194520,429515031663866438,89869766368,49999999999999999919,26494068,5887642139584591,35,516821,0.000552162615913521,
2025-07-20 04:07:34,Predictive,fees_collect_only_success,0x6c605ee0bc38d5a97430561755d513e1994c7361c60bccd5f218bb77cae7f249,20,3665.837784154415,194251,3664.85,3663.34043791777712858385187195094180620599251644969504527986455939712626109189,1309003909904291477490891868940379,194258,0,0,2000000000000,50000000000000000000,194130,194340,440965174110198743,96294509666,49999999999999999893,32562756,7237202663705812,35,482565,0.000552931193151690,
2025-07-20 08:07:14,Predictive,fees_collect_only_success,0x6cc055101794e0302b637196fd6b2abbe1ee257fecac11310ec38efe334ad107,20,3700.627537600994,194157,3678.31,3675.48453637093786772195365987679474733150289114712322326926763640383924263225,1306839593212042425924696748766859,194225,0,0,2000000000000,50000000000000000000,194060,194260,349891961481521212,27587787641,49999999999999999973,24446038,5431936017428197,35,516520,0.000585431128410000,
2025-07-20 12:07:18,Predictive,fees_collect_only_success,0xce5afc5efcf5889182666cfc4549b1c639300f17f9d57e3a2def6067dc2e1191,20,3751.9675853347776,194019,3750.33,3748.67100027169228937700664865051722795173759966643585209227475163053727447235,1294019796702359971708109245538158,194028,0,0,2000000000000,50000000000000000000,193920,194130,679768521671602919,248439697648,49999999999999999928,36919034,14838319512568515,35,516709,0.000694268314266397,
2025-07-20 16:07:31,Predictive,fees_collect_only_success,0xea9e50d96399b3e1947c591052a54e6c251b26f33703a46d1f0c5065b3b6afc7,20,3781.837518296242,193940,3786.04,3778.49981087851518304674025530701986431676459743142708045872179702334278811096,1288901951760234705595133312468592,193949,0,0,2000000000000,50000000000000000000,193830,194040,597644066379023826,195787346659,49999999999999999954,33167441,12635199095471892,35,482621,0.000728906238060613,
2025-07-20 20:07:18,Predictive,fees_collect_only_success,0x76ecdc3ce06f5d75773948f60c674488f9b15213122d834d7eb42e50eac5fbde,20,3750.422686729431,194023,3762.75,3747.10195000908089718718978111453447731997943211493747206288204735876977851788,1294290695336075104969644598690858,194032,0,0,2000000000000,50000000000000000000,193890,194100,476033539890995831,117706009620,49999999999999999903,27692414,9999901129047385,35,516765,0.000670877791446195,
2025-07-21 00:07:18,Predictive,fees_collect_only_success,0xf1e1d5bfbd97f98c70275c4fc78030e3f048d27ed9f8a70f40a7c82b3878a067,20,3745.170599448681,194037,3761.57,3750.75337835022968187015403822084221454429564065053534549565120223874708380161,1293660533869210312872969263556233,194022,0,0,2000000000000,50000000000000000000,193920,194130,799063679392288776,325014152563,49999999999999999947,36172734,18087834086090537,35,516709,0.000579437334638697,
2025-07-21 04:07:20,Predictive,fees_collect_only_success,0xee3415d1e221ba243865cb6ed52b34391bc6b533c6092447c0d63d5d288b4599,20,3729.6543080699444,194079,3756.50,3753.01040683291558069375234327175959175633099681197647823637740005788046634891,1293271477155082069108760306312990,194016,0,0,2000000000000,50000000000000000000,193970,194180,1737750473028357856,926308757737,49999999999999999986,34820106,17411698125767596,35,516765,0.000565336552637520,
